Country,Country_Code,Agricultural_Land_1000ha,Unit,Cropland_1000ha,Permanent_Crops_1000ha,Cropland_Pct
Afghanistan,4,38313.0,1000 ha,8051.0,222.0,21.013755122282255
Albania,8,1165.555,1000 ha,687.555,87.955,58.98949427525941
Algeria,12,41288.0,1000 ha,8481.0,951.0,20.54107731059872
American Samoa,16,2.87,1000 ha,2.87,1.91,100.0
Andorra,20,18.7773,1000 ha,0.7773,0.0084,4.139572782029365
Angola,24,45864.0,1000 ha,5657.0,317.0,12.334292691435548
Antigua and Barbuda,28,9.0,1000 ha,5.0,1.0,55.55555555555556
Argentina,32,117679.0,1000 ha,42998.0,1068.0,36.53837982987619
Armenia,51,1676.0,1000 ha,504.0,60.0,30.071599045346066
Aruba,533,2.0,1000 ha,2.0,,100.0
"Ascension, Saint Helena and Tristan da Cunha",654,12.0,1000 ha,4.0,,33.33333333333333
Australia,36,355775.0,1000 ha,30996.0,352.0,8.712247909493358
Austria,40,2602.6653,1000 ha,1392.6854,67.714,53.50996918428198
Azerbaijan,31,4780.1,1000 ha,2357.0,272.7,49.30859187046296
